ProductID,ProductName,Category,Price
P0001,Trouble Indigo,Toys,-99.99
P0002,Important Orange,Elec-tronics,140.18
P0003,,Books,349.56
P0004,Reduce MediumVioletRed,Home,349.54
P0005,Send Orchid,Toys,220.49
P0006,Consider Snow,Books,71.73
P0007,Whole Peru,Home,210.71
P0008,Certain OrangeRed,Electronics,179.36
P0009,In FloralWhite,Toys,361.25
P0010,Live DarkRed,Clothing,110.62
P0011,Child Maroon,Toys,200.84
P0012,Tend DarkSalmon,Toys,85.39
P0013,Its FloralWhite,Electronics,79.52
P0014,Option Purple,Home,130.77
P0015,Space LightSkyBlue,Electronics,393.96
P0016,Old PaleGoldenRod,Toys,180.95
P0017,Account PeachPuff,Books,429.63
P0018,Guess Silver,Home,18.97
P0019,Particularly Pink,Electronics,95.58
P0020,Improve Crimson,Clothing,108.29
P0021,Check DarkGoldenRod,Toys,112.62
P0022,Decade Black,Home,122.34
P0023,Price MediumSeaGreen,Home,203.03
P0024,Allow SeaShell,Electronics,69.68
P0025,Think Green,Books,424.44
P0026,Environment GhostWhite,Clothing,298.91
P0027,Indeed Green,Books,121.34
P0028,Why LightSlateGray,Toys,438.13
P0029,But Peru,Books,14.68
P0030,Commercial Gray,Clothing,351.85
P0031,Less Plum,Toys,22.29
P0032,Human Magenta,Clothing,338.39
P0033,Image Indigo,Home,321.28
P0034,Movie Tomato,Toys,287.48
P0035,Other SlateGray,Toys,410.8
P0036,Condition Magenta,Toys,54.24
P0037,Everyone White,Books,448.42
P0038,Enjoy MediumOrchid,Electronics,485.42
P0039,Check Olive,Clothing,134.73
P0040,Usually AntiqueWhite,Home,237.56
P0041,Pm DarkMagenta,Toys,367.12
P0042,Per GhostWhite,Toys,143.24
P0043,Around LightSteelBlue,Books,399.03
P0044,Choice DarkKhaki,Home,320.57
P0045,Seat DarkKhaki,Home,144.49
P0046,Scientist PaleTurquoise,Clothing,240.84
P0047,Officer Lime,Clothing,311.81
P0048,Hear Lime,Clothing,194.95
P0049,Democrat AliceBlue,Toys,210.9
P0050,Financial LightGreen,Home,67.96
